SEQENCE ID                     TM SP PREDICTION
O83679                          0  0 o
O83686                          0  0 o
O83687                          0  0 o
O83703                          2  0 o6-28i367-386o
O83714                          0  0 o
O83716                          0  0 o
O83724                          0  0 o
O83728                          0  0 o
O83735                          0  0 o
O83754                          0  0 o
O83772                          0  0 o
O83776                          0  0 o
O83787                          0  0 o
O83796                          0  0 o
O83798                          3  0 o6-28i40-59o65-84i
O83802                          0  0 o
O83806                          0  0 o
O83809                          0  0 o
O83814                          0  0 o
O83816                          0  0 o
O83833                          0  0 o
O83842                          0  0 o
O83856                          0  0 o
O83873                          0  0 o
O83903                          0  Y n7-16c21/22o
O83938                          0  0 o
O83943                          4  0 i12-36o48-67i74-92o145-165i
O83950                          0  0 o
O83964                          4  0 i12-34o54-73i85-102o122-145i
O83970                          0  0 o
O83971                          0  0 o
O83972                          0  0 o
O83973                          0  Y n2-12c17/18o
O83974                          1  0 o59-77i
O83975                          0  0 o
O83980                          0  0 o
O83982                          0  0 o
O83985                          0  0 o
O83998                          0  0 o
O84003                          1  0 o88-107i
P16665                          0  0 o
P18193                          0  Y n4-15c20/21o
P19478                          0  Y n6-17c21/22o
P21990                          0  0 o
P21991                          0  0 o
P27771                          0  Y n3-11c16/17o
P74934                          0  0 o
P96115                          0  0 o
P96121                          0  0 o
P96122                          0  0 o
P96130                          0  0 o
Q56328                          0  Y n4-15c19/20o
Q56336                          0  0 o
Q56342                          0  0 o
Q56346                          0  0 o
F7IUB5                          0  0 o
F7IUJ5                          7  0 o6-23i49-71o83-101i113-132o144-163i175-194o200-221i
F7IVV4                          0  0 o
F7IW50                          0  0 o
O07884                          0  0 o
O07886                          3  0 o6-23i35-56o148-171i
O07887                          1  0 i12-34o
O07888                          1  0 o35-58i
O07950                          0  Y n6-17c24/25o
O66075                          0  0 i
O66076                          5  0 o6-25i37-62o82-108i140-161o173-190i
O66105                          0  Y n8-18c23/24o
O66106                          0  0 o
O83048                          0  0 o
O83049                          0  0 o
O83060                          0  0 o
O83063                          0  0 o
O83070                          0  0 o
O83075                          0  0 o
O83077                          0  Y n4-15c19/20o
O83078                          0  Y n5-13c18/19o
O83079                          7  Y n10-25c43/44o59-79i86-108o128-146i158-181o187-205i212-236o242-261i
O83080                          0  0 o
O83084                          0  0 o
O83085                          0  0 o
O83090                          0  0 o
O83091                          0  0 o
O83093                          0  0 o
O83099                          0  0 o
O83100                          0  0 o
O83101                          0  0 o
O83102                          0  0 o
O83132                          0  0 o
O83135                          0  0 o
O83137                          0  0 o
O83140                          0  0 o
O83141                          0  0 o
O83149                          0  0 o
O83150                          0  0 o
O83151                          1  0 i12-33o
O83152                          1  0 i12-36o
O83158                          0  0 o
O83161                          0  0 o
O83162                          0  0 o
O83169                          0  0 o
O83172                          0  Y n5-16c21/22o
O83177                          0  0 o
O83195                          0  0 o
O83212                          0  Y n3-10c28/29o
O83214                          0  0 o
O83215                          1  0 i20-45o
O83218                          0  0 i
O83219                          0  0 o
O83220                          0  0 o
O83221                          0  0 o
O83222                          0  0 i
O83223                          0  0 i
O83224                          0  0 o
O83225                          0  0 o
O83226                          0  0 i
O83227                          0  0 o
O83228                          0  0 i
O83229                          0  0 o
O83230                          0  0 i
O83232                          0  0 o
O83233                          0  0 o
O83234                          0  0 o
O83235                          0  0 i
O83237                          0  0 o
O83238                         10  0 i20-40o64-84i115-136o148-169i181-198o210-231i268-287o307-325i365-387o393-413i
O83239                          0  0 i
O83240                          0  0 o
O83241                          0  0 i
O83243                          0  0 o
O83245                          0  0 o
O83246                          0  0 o
O83256                          6  0 i85-102o108-125i132-149o155-176i197-217o237-260i
O83257                          0  0 o
O83262                          0  0 o
O83263                          1  0 i32-58o
O83264                          0  0 o
O83265                          0  0 o
O83266                          0  0 i
O83267                          0  0 o
O83268                          0  0 o
O83269                          0  0 o
O83271                          0  0 o
O83272                          0  0 i
O83278                          0  0 i
O83289                         12  0 i7-25o37-62i83-111o117-136i148-173o193-212i236-259o279-306i318-336o342-363i375-399o419-437i
O83295                          0  0 o
O83296                          0  0 o
O83298                          0  0 o
O83300                          0  0 o
O83317                          0  0 o
O83321                          0  0 o
O83323                          9  Y n7-17c25/26o49-68i80-98o104-125i137-155o181-202i223-242o248-268i275-294o300-323i
O83324                          7  Y n2-12c21/22o31-56i63-81o93-112i145-163o193-215i227-253o265-285i
O83325                          0  0 o
O83328                          0  0 i
O83348                          0  0 o
O83359                          0  0 o
O83363                          0  0 o
O83364                          0  0 o
O83373                          0  0 o
O83387                          0  0 i
O83388                          0  0 o
O83395                          0  0 o
O83398                          0  0 o
O83399                          0  0 o
O83404                          0  0 o
O83405                          0  0 o
O83410                          0  0 o
O83411                          0  0 o
O83413                          0  0 o
O83414                          2  0 i21-44o471-492i
O83415                          0  0 o
O83416                          0  0 o
O83418                          0  0 i
O83421                          0  0 o
O83425                          6  0 i7-29o418-434i446-463o469-489i510-532o538-562i
O83426                          6  0 i7-32o250-270i277-302o308-327i353-374o386-408i
O83431                          0  0 o
O83436                          0  Y n11-22c26/27o
O83439                          1  0 i200-225o
O83441                          0  0 o
O83442                          0  0 o
O83443                          0  0 o
O83444                          8  0 i306-324o330-363i375-397o428-448i457-478o484-504i525-544o564-585i
O83453                          0  0 o
O83456                          0  0 o
O83464                          0  0 o
O83475                          0  Y n9-20c27/28o
O83477                          0  0 i
O83490                          0  0 o
O83504                          1  0 o17-43i
O83506                          0  0 o
O83510                          0  0 o
O83511                          1  0 i12-32o
O83513                          0  Y n18-29c42/43o
O83518                          0  0 o
O83522                          0  0 o
O83529                         13  Y n10-20c25/26o35-55i97-120o140-161i168-184o190-214i235-260o280-300i312-333o359-380i387-409o415-435i455-479o485-509i
O83531                          0  0 o
O83537                          0  0 o
O83538                          0  0 o
O83539                          0  0 o
O83540                          0  0 o
O83541                          0  0 o
O83547                          1  Y n8-20c25/26o57-75i
O83554                          0  0 o
O83556                          0  Y n7-17c22/23o
O83565                          0  0 o
O83567                          0  0 o
O83569                          6  Y n10-20c25/26o71-91i112-133o153-172i204-227o233-257i277-299o
O83585                          0  0 o
O83587                          0  0 o
O83590                          0  0 o
O83595                          0  0 o
O83598                          0  0 o
O83609                          4  0 o20-45i102-125o380-409i421-443o
O83612                          0  0 o
O83613                          0  0 o
O83614                          0  0 o
O83615                          0  0 o
O83618                          0  0 o
O83623                          0  0 o
O83634                          0  0 o
O83635                          0  0 o
O83636                          0  0 o
O83647                          0  0 o
O83650                          0  0 o
O83656                          0  0 o
O83663                          0  0 i
O83666                          0  0 o
O83675                          0  0 o
O83699                          0  0 o
O83710                          5  0 o54-72i107-125o161-180i187-206o212-230i
O83713                          0  0 o
O83720                          0  0 o
O83723                          0  0 o
O83725                          0  0 i
O83727                          0  0 o
O83737                          0  0 o
O83738                          0  0 o
O83739                          0  0 o
O83748                          0  0 o
O83749                          0  0 o
O83765                          0  0 o
O83778                          1  0 i32-50o
O83779                          0  0 o
O83785                          0  0 o
O83786                          0  0 i
O83790                          0  0 o
O83800                          0  0 o
O83803                          0  0 o
O83820                          0  0 i
O83821                          0  0 i
O83822                          0  0 o
O83824                          4  0 i21-43o63-86i247-266o300-321i
O83826                          4  Y n11-21c25/26o755-775i823-846o858-877i1083-1107o
O83834                          0  Y n7-18c36/37o
O83845                          0  0 o
O83855                          0  0 o
O83857                          0  0 o
O83858                          0  0 o
O83859                          0  0 o
O83860                          0  0 i
O83861                          0  0 o
O83862                          0  0 o
O83863                          0  0 o
O83868                          1  0 o346-366i
O83875                          0  0 i
O83876                          0  0 o
O83877                          0  0 o
O83878                          0  0 o
O83879                          0  0 o
O83887                          3  0 i358-376o388-409i421-445o
O83889                          0  0 o
O83895                          0  0 o
O83896                          1  Y n2-12c16/17o62-83i
O83909                          0  0 o
O83917                          0  0 i
O83940                          0  0 o
O83942                          0  0 o
O83945                          0  0 o
O83946                          0  0 o
O83949                          0  0 o
O83956                          0  0 o
O83958                          0  Y n6-14c21/22o
O83969                          0  0 o
O83977                          0  0 o
O83979                          0  Y n15-23c28/29o
O83981                          1  0 o6-26i
O83983                          0  0 o
O83984                          0  0 o
O83986                          0  0 o
O83987                          0  0 o
O83988                          0  0 o
O83990                          0  0 o
O83991                          0  0 o
O83999                          8  0 i103-125o131-150i171-190o210-232i390-412o418-446i735-757o763-782i
O84001                          1  0 o32-51i
P07643                          0  Y n6-17c25/26o
P16055                          0  Y n7-18c29/30o
P19649                          0  Y n6-16c24/25o
P38369                          0  Y n14-21c26/27o
P45685                          0  0 o
P58007                          1  0 o16-35i
P74927                          0  0 o
P74930                          5  Y n11-20c24/25o69-92i113-130o192-210i217-238o244-263i
P74931                          2  0 o15-40i52-71o
P74932                          6  0 i12-34o40-58i70-93o132-153i174-200o220-248i
P74933                          0  0 o
P74935                          0  0 o
P74936                          0  0 o
P96117                          0  0 o
P96118                          8  0 i12-35o41-61i68-88o100-117i144-162o187-215i227-248o260-282i
P96119                          9  0 o6-25i34-50o56-76i88-108o141-159i166-182o188-212i224-247o253-271i
P96123                          0  0 o
P96126                          0  0 o
P96128                          0  0 o
P96129                          0  0 o
P96131                          0  0 o
Q08255                          0  Y n13-24c28/29o
Q56338                          8  0 i7-28o34-56i68-91o111-133i203-222o242-260i281-297o303-319i
Q56339                          0  0 o
Q57321                         10  0 i193-216o236-254i261-283o295-317i329-347o367-397i418-441o461-478i485-503o509-528i
F7ITI9                          0  0 o
F7IU72                          0  0 o
F7IUH9                          0  0 o
F7IUN7                          6  0 i12-37o49-69i90-115o121-140i171-194o200-224i
F7IUP9                          0  Y n5-13c18/19o
F7IV43                          0  0 i
F7IVD2                          0  0 o
F7IVK2                          0  0 o
F7IW56                          0  Y n5-18c25/26o
F7IW78                          0  0 o
F7IWA5                          0  Y n6-16c24/25o
F7IWE8                          2  0 i21-42o114-133i
O06690                          0  Y n11-29c37/38o
O83050                          0  0 o
O83052                          0  0 o
O83053                          0  0 o
O83054                          0  0 i
O83055                          0  0 o
O83056                          0  0 i
O83057                          0  Y n9-19c23/24o
O83058                          0  0 i
O83061                          0  0 o
O83062                          0  0 o
O83064                          1  Y n12-20c25/26o472-494i
O83065                          0  0 o
O83066                          0  0 o
O83067                         11  0 i12-35o41-62i100-121o151-169i181-202o222-244i265-284o304-330i350-370o376-398i424-442o
O83068                          0  0 o
O83069                          0  0 o
O83071                          4  0 o6-23i44-68o74-94i114-136o
O83072                          2  Y n5-16c21/22o86-106i118-138o
O83074                          1  0 o67-90i
O83076                          5  Y n3-11c16/17o26-43i50-70o82-103i123-143o174-192i
O83081                          0  0 i
O83082                          0  0 i
O83083                          0  Y n9-19c27/28o
O83086                          0  0 o
O83087                          0  0 i
O83088                          0  Y n3-8c13/14o
O83089                          0  0 o
O83094                          2  0 i12-39o51-70i
O83095                          0  0 o
O83096                          9  Y n9-20c25/26o108-127i134-152o172-191i198-220o255-282i303-330o350-367i379-398o450-468i
O83098                          0  0 i
O83103                          0  0 i
O83104                          0  0 o
O83105                          0  0 o
O83106                          0  0 o
O83108                          0  Y n2-10c22/23o
O83109                          4  0 o6-22i34-53o65-87i108-127o
O83111                          0  0 o
O83112                          0  0 o
O83113                          0  Y n13-25c43/44o
O83114                          6  0 i12-35o78-99i111-131o159-184i205-227o270-291i
O83115                          5  Y n10-20c25/26o70-94i106-130o142-163i183-208o243-266i
O83116                          0  0 o
O83117                          0  0 o
O83118                          0  0 o
O83119                          0  0 o
O83120                          0  0 o
O83121                          0  0 o
O83122                          0  0 o
O83123                          0  0 o
O83124                          0  0 o
O83125                          0  Y n18-28c33/34o
O83126                          0  Y n7-16c24/25o
O83127                          0  0 o
O83130                          0  0 o
O83131                          1  0 o98-119i
O83133                          0  0 o
O83134                          0  0 o
O83136                          0  0 o
O83138                          0  Y n15-26c33/34o
O83139                          6  0 o6-31i51-73o79-108i129-155o161-187i208-231o
O83144                         12  0 i12-28o48-67i88-107o137-159i194-220o226-246i258-279o322-343i355-376o410-435i456-475o481-501i
O83145                          0  0 o
O83147                          0  0 o
O83148                          0  0 o
O83155                          0  0 o
O83156                          5  Y n5-12c30/31o63-80i87-106o112-131i143-169o189-212i
O83157                          0  0 i
O83160                          0  Y n13-24c28/29o
O83163                          2  0 i72-91o188-206i
O83164                          0  Y n12-20c25/26o
O83165                          0  0 o
O83166                          0  0 o
O83167                          0  0 o
O83168                          0  0 i
O83170                          0  Y n10-21c26/27o
O83171                          0  0 o
O83173                          0  0 o
O83174                          2  0 i28-50o62-82i
O83175                          0  0 o
O83176                         16  Y n9-19c24/25o34-56i68-88o100-119i131-152o164-183i195-219o249-269i281-299o311-334i355-380o386-405i417-435o441-459i480-501o507-528i535-556o
O83178                          0  0 o
O83179                         15  0 i41-63o116-138i150-172o192-217i238-255o261-283i295-318o348-370i382-402o408-428i440-458o464-487i508-530o536-555i567-585o
O83180                          0  Y n7-18c23/24o
O83181                          2  0 i321-339o359-381i
O83182                          0  0 o
O83183                          6  0 o6-30i42-61o67-88i100-116o122-142i154-174o
O83184                          5  0 i12-40o60-78i90-110o122-144i164-182o
O83185                          1  0 o12-30i
O83186                          8  0 i12-37o43-61i68-85o91-109i220-237o243-261i273-289o309-330i
O83187                          0  0 o
O83188                          2  0 o75-97i143-161o
O83189                          0  0 o
O83190                          1  0 i21-42o
O83191                          0  0 o
O83192                          0  0 o
O83193                          0  0 o
O83194                          0  Y n5-12c20/21o
O83196                          0  0 o
O83199                          0  0 o
O83202                          0  0 o
O83203                          2  0 i12-34o155-179i
O83204                          1  0 i21-46o
O83205                          0  0 o
O83206                          0  0 i
O83207                          0  0 o
O83208                          0  0 o
O83209                          0  0 o
O83210                          0  0 o
O83211                          1  Y n7-15c22/23o122-145i
O83213                          0  Y n10-18c23/24o
O83216                          0  0 o
O83244                          0  0 i
O83247                          2  0 i7-28o63-80i
O83248                          9  0 o6-24i31-56o62-84i96-119o139-163i175-198o204-226i238-257o263-280i
O83249                          0  0 o
O83250                          0  0 o
O83251                          1  Y n5-16c23/24o126-147i
O83252                          0  0 o
O83253                          0  0 o
O83254                          5  Y n22-30c34/35o44-61i68-85o105-123i144-166o186-205i
O83255                          0  0 o
O83259                          0  0 o
O83260                          0  0 o
O83261                          0  0 o
O83273                          0  Y n6-18c26/27o
O83274                          0  0 o
O83275                          0  Y n21-33c42/43o
O83277                          1  Y n3-11c16/17o54-74i
O83280                          0  0 o
O83282                          0  0 o
O83283                          0  0 o
O83284                          1  0 i12-30o
O83285                          0  Y n3-10c15/16o
O83286                          0  0 i
O83287                          0  0 o
O83290                          0  0 i
O83291                          0  0 o
O83292                          0  Y n9-18c23/24o
O83294                          0  0 o
O83297                          6  0 i22-44o50-70i99-120o126-150i162-182o188-208i
O83299                          1  0 o230-246i
O83301                          0  0 o
O83302                          0  0 o
O83304                          0  0 o
O83305                          0  Y n3-10c18/19o
O83306                          1  0 i21-43o
O83308                          0  0 o
O83309                          0  0 o
O83310                          0  0 o
O83311                          0  0 o
O83312                          0  0 o
O83313                          0  0 o
O83315                          0  0 o
O83316                          0  0 i
O83318                          0  0 o
O83320                          1  0 i19-41o
O83326                          0  0 o
O83329                          1  0 o6-32i
O83330                          1  0 i24-43o
O83331                          0  0 o
O83332                          0  0 o
O83333                          0  0 i
O83334                          8  0 o20-44i56-74o80-97i132-155o184-215i247-269o275-296i308-332o
O83335                          0  Y n6-16c24/25o
O83336                          0  0 o
O83337                          0  Y n6-16c24/25o
O83338                          0  0 i
O83340                          0  0 o
O83341                          0  0 o
O83342                          8  0 i43-67o73-93i105-127o156-176i188-210o241-259i289-314o368-386i
O83343                          9  0 o6-27i34-55o61-82i94-116o150-169i200-218o224-241i248-266o278-296i
O83344                          0  Y n14-26c31/32o
O83345                          0  0 o
O83347                          0  Y n5-16c20/21o
O83350                          0  0 o
O83352                          0  0 o
O83353                          0  Y n7-18c22/23o
O83354                          1  0 o98-117i
O83355                          3  0 i37-59o128-147i159-179o
O83356                         12  0 i45-65o71-89i110-137o279-297i309-332o344-366i378-399o405-425i437-459o465-488i500-520o526-548i
O83358                          3  Y n4-15c19/20o52-72i84-99o105-124i
O83366                          0  Y n9-19c24/25o
O83367                          4  0 i46-72o92-115i127-146o221-240i
O83368                          8  0 o16-34i46-68o80-102i109-130o142-166i223-251o257-274i281-299o
O83371                          0  0 o
O83374                          0  0 o
O83375                          0  0 o
O83376                          1  0 o78-98i
O83378                          0  0 o
O83379                          0  0 i
O83380                          0  Y n17-30c35/36o
O83383                          1  0 o6-28i
O83384                          0  Y n3-11c16/17o
O83385                          0  0 o
O83389                          0  Y n31-42c50/51o
O83390                          0  Y n4-15c19/20o
O83391                          0  0 o
O83392                          1  0 i20-38o
O83393                          0  0 o
O83396                          7  0 o20-40i52-73o79-96i101-119o131-152i159-178o203-225i
O83397                          0  0 o
O83400                          0  Y n29-41c46/47o
O83403                          1  0 i28-51o
O83406                          0  0 o
O83407                          2  0 i21-41o76-93i
O83408                          0  0 o
O83412                          0  0 o
O83419                          0  0 o
O83420                          0  0 i
O83422                          0  0 o
O83423                          0  Y n4-16c21/22o
O83424                          0  Y n4-12c20/21o
O83427                          0  0 o
O83428                          0  Y n3-13c19/20o
O83429                         11  0 o20-45i66-92o98-122i143-167o187-209i221-240o246-265i310-333o353-376i396-413o419-435i
O83430                          0  0 i
O83435                          0  0 i
O83437                          0  Y n22-33c38/39o
O83438                          0  0 o
O83440                          0  0 o
O83445                          3  Y n6-17c22/23o46-65i77-95o115-138i
O83447                          0  0 o
O83449                          0  0 o
O83450                          0  0 o
O83451                          0  0 o
O83454                          0  0 o
O83457                          0  0 o
O83458                          1  0 o43-63i
O83459                          0  0 o
O83461                          0  Y n9-19c27/28o
O83463                          0  Y n6-16c21/22o
O83465                          0  Y n6-17c22/23o
O83467                          0  0 o
O83468                          0  Y n17-28c34/35o
O83469                          0  Y n5-13c18/19o
O83470                          0  0 o
O83471                          0  0 o
O83472                          0  0 o
O83473                          0  0 o
O83474                          0  0 o
O83478                          1  0 o32-55i
O83479                          0  0 i
O83480                          0  0 o
O83481                          0  0 o
O83482                          0  Y n8-19c24/25o
O83483                          0  Y n21-30c35/36o
O83484                          1  0 o16-38i
O83486                          7  0 o6-24i36-56o68-89i96-114o126-145i157-183o189-209i
O83487                          0  0 o
O83492                          3  0 o43-64i85-106o112-129i
O83493                          3  Y n4-9c14/15o24-50i57-76o107-130i
O83494                          1  0 i109-129o
O83495                          0  0 o
O83497                          1  0 i39-56o
O83498                          2  0 i21-42o281-308i
O83499                          0  Y n8-19c23/24o
O83500                          0  0 o
O83501                          2  0 i158-181o437-457i
O83502                          0  0 o
O83503                          0  0 i
O83507                          0  0 o
O83508                          0  0 i
O83509                          1  0 o39-57i
O83512                          5  0 o6-28i35-62o68-85i97-122o142-163i
O83515                          0  0 o
O83516                          0  0 o
O83517                          0  0 o
O83524                          0  Y n5-16c27/28o
O83526                          0  0 o
O83528                          0  Y n7-15c19/20o
O83532                          0  0 o
O83533                          0  0 o
O83534                          5  0 o6-23i30-50o62-83i103-125o131-149i
O83542                          0  0 o
O83543                          0  0 o
O83545                          0  0 o
O83546                          0  0 o
O83550                          0  Y n4-14c26/27o
O83551                          0  0 i
O83555                          0  Y n5-17c25/26o
O83557                          0  0 o
O83559                          0  Y n16-26c44/45o
O83560                          0  0 o
O83562                          7  0 o22-47i156-176o182-201i222-241o247-267i288-310o322-341i
O83563                          0  0 o
O83564                          8  0 i12-28o34-52i91-115o196-220i241-263o269-295i307-328o340-370i
O83566                          9  0 o6-28i40-59o79-102i123-145o165-185i197-223o235-256i307-327o333-359i
O83568                          0  Y n12-23c27/28o
O83572                          1  Y n6-17c25/26o214-240i
O83573                          0  0 o
O83574                          0  0 o
O83575                          8  Y n4-15c19/20o228-250i262-283o303-325i337-355o361-380i387-405o421-439i455-475o
O83576                          0  Y n28-43c48/49o
O83577                         12  0 o6-23i30-46o52-68i77-96o125-147i159-181o251-273i317-336o342-359i387-404o424-445i457-479o
O83579                          0  0 o
O83580                          2  0 i102-123o135-157i
O83581                          1  Y n3-10c14/15o24-45i
O83582                          7  0 i27-45o57-80i92-110o130-149i170-187o193-214i226-249o
O83583                          0  0 o
O83586                          2  0 o494-517i552-572o
O83588                          0  Y n12-23c35/36o
O83589                          6  0 i27-53o269-288i300-317o323-341i348-366o386-412i
O83591                          4  0 i66-86o329-352i372-398o452-481i
O83592                          0  0 o
O83593                          0  0 o
O83594                          0  Y n10-21c25/26o
O83596                          0  0 o
O83597                          0  0 o
O83599                          0  0 i
O83601                          0  Y n6-16c20/21o
O83602                          3  0 o79-97i337-360o366-386i
O83603                          2  0 o6-21i28-46o
O83605                          0  0 o
O83606                          0  0 i
O83607                          0  0 o
O83608                          0  0 o
O83616                          0  0 o
O83617                          1  0 i59-75o
O83619                          0  0 o
O83620                          0  0 o
O83621                          0  0 o
O83622                          0  0 i
O83624                          0  0 o
O83626                          0  0 o
O83627                          0  Y n5-16c20/21o
O83628                          0  0 o
O83630                          1  0 i7-25o
O83631                          3  0 i229-247o267-287i299-318o
O83632                          0  0 o
O83633                          0  0 o
O83637                          0  Y n8-19c24/25o
O83638                          0  0 o
O83643                          0  Y n10-17c21/22o
O83645                          3  Y n10-21c25/26o49-73i85-107o122-139i
O83648                          0  0 o
O83651                          0  0 o
O83652                          1  Y n14-25c29/30o39-61i
O83654                          0  0 o
O83655                          0  0 o
O83657                          7  Y n15-25c30/31o365-385i397-416o428-444i449-466o472-488i500-517o523-545i
O83659                          6  0 i12-45o78-99i106-128o159-180i214-237o257-280i
O83660                          8  0 i21-43o49-65i77-101o107-132i144-164o184-206i213-235o241-261i
O83661                          0  Y n11-19c24/25o
O83662                          0  0 o
O83665                          0  0 o
O83667                          0  0 o
O83670                          0  Y n4-14c18/19o
O83671                          0  0 o
O83672                          0  0 o
O83673                          0  0 o
O83674                          3  Y n4-12c16/17o64-87i99-122o165-193i
O83677                          8  0 i45-62o74-93i114-131o137-155i162-183o203-224i231-251o288-307i
O83680                          0  0 i
O83681                          1  0 i21-41o
O83682                          0  0 o
O83683                          0  0 o
O83684                          0  0 o
O83685                          3  0 o14-35i42-64o76-100i
O83688                          0  Y n4-14c19/20o
O83689                          0  0 o
O83691                          0  Y n4-15c20/21o
O83692                          0  0 o
O83693                          0  Y n3-11c19/20o
O83694                          0  0 o
O83695                          0  Y n8-23c28/29o
O83696                          0  Y n4-14c19/20o
O83697                          0  0 o
O83698                          0  0 o
O83700                          0  0 o
O83701                          1  0 i34-56o
O83702                          0  0 o
O83704                          0  Y n4-15c20/21o
O83705                          3  0 o6-29i50-79o91-109i
O83706                          2  0 o20-38i50-72o
O83708                          0  0 o
O83709                          1  0 o6-23i
O83711                          0  0 i
O83712                          7  0 o88-108i120-140o202-221i242-261o267-291i303-321o333-355i
O83715                          0  Y n10-21c25/26o
O83717                          0  0 o
O83719                          0  Y n12-23c27/28o
O83721                          1  0 i12-31o
O83722                          0  0 o
O83726                          0  0 o
O83729                          0  0 o
O83730                          0  0 o
O83731                          0  Y n7-18c22/23o
O83732                          0  Y n5-13c18/19o
O83733                          0  Y n15-23c28/29o
O83734                          2  0 i7-24o44-62i
O83736                          0  0 i
O83740                          0  Y n6-16c21/22o
O83741                          1  0 i39-62o
O83742                          0  0 o
O83743                          0  0 o
O83744                          2  0 i41-62o74-95i
O83745                          0  0 o
O83747                          0  0 o
O83750                          9  0 i35-59o79-101i113-134o140-169i181-198o218-235i242-263o292-316i328-348o
O83751                          0  0 o
O83752                          0  Y n7-21c39/40o
O83753                          3  Y n6-16c20/21o36-57i69-88o100-127i
O83755                          0  0 o
O83756                          0  0 o
O83757                          0  0 o
O83758                          5  0 o12-33i53-74o109-133i140-162o168-189i
O83760                          0  0 o
O83761                          0  Y n3-13c21/22o
O83763                          0  Y n5-18c23/24o
O83764                          0  Y n19-31c36/37o
O83766                          3  0 i39-61o73-99i111-136o
O83767                          0  Y n6-14c18/19o
O83768                          0  Y n4-15c23/24o
O83769                         11  Y n30-41c46/47o237-256i263-287o293-318i339-362o368-393i430-450o731-749i756-778o784-806i827-849o855-881i
O83770                          0  Y n7-16c21/22o
O83771                          0  0 o
O83773                          0  Y n6-17c26/27o
O83777                          0  0 o
O83780                          0  0 o
O83781                          0  0 o
O83782                          0  0 o
O83784                          0  0 o
O83788                          0  0 o
O83789                          0  0 o
O83791                          0  0 o
O83792                          0  0 o
O83793                          0  0 o
O83794                          3  Y n17-28c33/34o43-61i81-101o107-136i
O83795                          0  0 o
O83797                          0  0 i
O83799                          0  0 o
O83801                          0  0 o
O83804                          0  Y n27-45c57/58o
O83805                          0  Y n4-14c21/22o
O83807                          0  Y n8-23c31/32o
O83808                          0  0 o
O83810                          0  0 o
O83811                          0  Y n7-18c23/24o
O83812                         12  0 i21-42o48-67i79-102o108-126i147-167o179-200i240-261o273-295i302-320o326-347i368-391o403-422i
