ID	Evidences length	Evidences list	Complete evidences
O83569	4	GPI|PHOBIUS_TM|SL|TM	GPI|PHOBIUS_TM|SL|TM
O83609	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83612	1	SL	SL
O83710	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83778	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O83824	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83826	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83834	1	TM	TM
O83868	1	PHOBIUS_TM	PHOBIUS_TM
O83887	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O83896	1	PHOBIUS_TM	PHOBIUS_TM
O83981	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O83999	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O84001	1	PHOBIUS_TM	PHOBIUS_TM
P19649	1	TM	TM
P38369	1	TM	TM
P58007	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
P74930	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P74931	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P74932	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P96118	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P96119	4	GPI|PHOBIUS_TM|SL|TM	GPI|PHOBIUS_TM|SL|TM
Q08255	1	TM	TM
Q56338	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q57321	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
F7IUN7	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
F7IWE8	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O06690	1	TM	TM
O83055	1	TM	TM
O83064	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O83067	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83071	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O83072	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
O83074	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O83076	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83094	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O83096	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83109	4	GPI|PHOBIUS_TM|SL|TM	GPI|PHOBIUS_TM|SL|TM
O83114	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83115	4	GPI|PHOBIUS_TM|SL|TM	GPI|PHOBIUS_TM|SL|TM
O83131	1	PHOBIUS_TM	PHOBIUS_TM
O83139	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83144	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83156	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83163	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O83174	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83176	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83179	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83180	1	GPI	GPI
O83181	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O83183	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83184	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83185	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O83186	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83188	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
O83190	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O83203	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83204	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O83211	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O83247	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83248	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83249	1	TM	TM
O83251	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O83254	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83275	1	TM	TM
O83277	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O83284	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O83297	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83299	1	PHOBIUS_TM	PHOBIUS_TM
O83306	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O83320	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O83329	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O83330	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
O83334	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83342	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83343	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83344	1	TM	TM
O83353	1	TM	TM
O83354	1	PHOBIUS_TM	PHOBIUS_TM
O83355	3	GPI|PHOBIUS_TM|TM	GPI|PHOBIUS_TM|TM
O83356	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83358	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O83366	1	TM	TM
O83367	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83368	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83376	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83380	1	TM	TM
O83383	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O83392	3	GPI|PHOBIUS_TM|TM	GPI|PHOBIUS_TM|TM
O83396	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83400	2	SL|TM	SL|TM
O83403	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O83407	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O83420	1	TM	TM
O83429	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83445	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83458	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O83478	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O83482	1	TM	TM
O83484	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O83486	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83492	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O83493	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83494	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O83497	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O83498	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83501	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83509	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O83512	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83528	1	TM	TM
O83534	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83562	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83564	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83566	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83568	1	TM	TM
O83572	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O83573	1	SL	SL
O83575	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83576	1	TM	TM
O83577	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83580	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83581	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O83582	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83586	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83589	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83591	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83601	1	GPI	GPI
O83602	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83603	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O83617	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O83630	1	PHOBIUS_TM	PHOBIUS_TM
O83631	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O83645	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O83652	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O83657	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83659	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83660	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83674	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83677	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83681	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O83685	4	GPI|PHOBIUS_TM|SL|TM	GPI|PHOBIUS_TM|SL|TM
O83695	1	TM	TM
O83701	1	PHOBIUS_TM	PHOBIUS_TM
O83705	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O83706	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O83709	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O83712	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83719	1	TM	TM
O83721	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O83732	1	TM	TM
O83733	1	TM	TM
O83734	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83741	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83742	1	SL	SL
O83744	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83750	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83752	1	TM	TM
O83753	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83758	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83764	1	TM	TM
O83766	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83767	1	TM	TM
O83769	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83770	1	TM	TM
O83794	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83804	1	TM	TM
O83807	1	TM	TM
O83811	1	TM	TM
O83812	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83828	1	TM	TM
O83830	1	TM	TM
O83836	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O83837	1	TM	TM
O83848	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O83849	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83850	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83853	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83854	4	GPI|PHOBIUS_TM|SL|TM	GPI|PHOBIUS_TM|SL|TM
O83865	1	TM	TM
O83871	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83872	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O83885	1	TM	TM
O83888	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83898	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O83900	1	SL	SL
O83901	1	PHOBIUS_TM	PHOBIUS_TM
O83904	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83914	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O83919	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83924	4	GPI|PHOBIUS_TM|SL|TM	GPI|PHOBIUS_TM|SL|TM
O83928	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83929	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83931	1	TM	TM
O83932	1	TM	TM
O83937	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83941	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83947	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83951	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83953	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83954	1	PHOBIUS_TM	PHOBIUS_TM
O83955	1	PHOBIUS_TM	PHOBIUS_TM
O83968	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83978	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O83995	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O83997	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O84000	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P29722	1	TM	TM
Q01305	1	TM	TM
Q56343	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q56345	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
