# SignalP-5.0	Organism: euk	Timestamp: 20260405230859
# ID	Prediction	SP(Sec/SPI)	OTHER	CS Position
O83319	OTHER	0.005356	0.994644	
O83349	OTHER	0.002351	0.997649	
O83351	OTHER	0.002797	0.997203	
O83357	OTHER	0.000617	0.999383	
O83360	OTHER	0.000911	0.999089	
O83361	OTHER	0.003107	0.996893	
O83362	OTHER	0.009808	0.990192	
O83365	OTHER	0.001063	0.998937	
O83369	OTHER	0.001103	0.998897	
O83382	OTHER	0.008232	0.991768	
O83394	OTHER	0.004168	0.995832	
O83401	OTHER	0.003811	0.996189	
O83402	OTHER	0.000705	0.999295	
O83417	OTHER	0.000501	0.999499	
O83433	OTHER	0.108115	0.891885	
O83434	OTHER	0.005258	0.994742	
O83446	OTHER	0.002452	0.997548	
O83455	OTHER	0.005757	0.994243	
O83460	OTHER	0.001298	0.998702	
O83462	OTHER	0.000514	0.999486	
O83466	OTHER	0.001343	0.998657	
O83485	OTHER	0.001952	0.998048	
O83488	OTHER	0.001352	0.998648	
O83489	OTHER	0.007067	0.992933	
O83491	OTHER	0.024717	0.975283	
O83505	OTHER	0.003198	0.996802	
O83514	OTHER	0.005519	0.994481	
O83519	OTHER	0.000723	0.999277	
O83520	OTHER	0.000687	0.999313	
O83521	OTHER	0.005244	0.994756	
O83523	OTHER	0.002968	0.997032	
O83525	OTHER	0.014933	0.985067	
O83527	OTHER	0.000637	0.999363	
O83530	OTHER	0.001780	0.998220	
O83535	OTHER	0.009997	0.990003	
O83536	OTHER	0.000752	0.999248	
O83544	OTHER	0.001446	0.998554	
O83548	OTHER	0.003798	0.996202	
O83549	OTHER	0.000654	0.999346	
O83552	OTHER	0.001846	0.998154	
O83558	OTHER	0.002570	0.997430	
O83561	OTHER	0.001235	0.998765	
O83570	OTHER	0.001132	0.998868	
O83578	OTHER	0.002471	0.997529	
O83600	OTHER	0.001040	0.998960	
O83604	OTHER	0.003723	0.996277	
O83610	OTHER	0.012370	0.987630	
O83611	OTHER	0.036068	0.963932	
O83625	OTHER	0.001027	0.998973	
O83639	OTHER	0.001048	0.998952	
O83640	OTHER	0.001024	0.998976	
O83641	OTHER	0.002004	0.997996	
O83642	OTHER	0.000448	0.999552	
O83644	OTHER	0.003029	0.996971	
O83649	OTHER	0.008692	0.991308	
O83653	OTHER	0.000548	0.999452	
O83658	OTHER	0.002582	0.997418	
O83664	OTHER	0.000815	0.999185	
O83668	OTHER	0.001088	0.998912	
O83676	OTHER	0.002738	0.997262	
O83678	OTHER	0.003160	0.996840	
O83679	OTHER	0.017777	0.982223	
O83686	OTHER	0.002547	0.997453	
O83687	OTHER	0.001780	0.998220	
O83703	OTHER	0.252525	0.747475	
O83714	OTHER	0.003892	0.996108	
O83716	OTHER	0.003373	0.996627	
O83724	OTHER	0.000663	0.999337	
O83728	OTHER	0.000534	0.999466	
O83735	OTHER	0.001939	0.998061	
O83754	OTHER	0.031470	0.968530	
O83772	OTHER	0.001366	0.998634	
O83776	OTHER	0.008450	0.991550	
O83787	OTHER	0.000724	0.999276	
O83796	OTHER	0.000893	0.999107	
O83798	OTHER	0.010559	0.989441	
O83802	OTHER	0.001112	0.998888	
O83806	OTHER	0.003901	0.996099	
O83809	OTHER	0.001706	0.998294	
O83814	OTHER	0.006599	0.993401	
O83816	OTHER	0.003129	0.996871	
O83833	OTHER	0.004440	0.995560	
O83842	OTHER	0.000726	0.999274	
O83856	OTHER	0.005617	0.994383	
O83873	OTHER	0.007910	0.992090	
O83903	SP(Sec/SPI)	0.545117	0.454883	CS pos: 21-22. THG-SA. Pr: 0.4375
O83938	OTHER	0.000401	0.999599	
O83943	OTHER	0.274203	0.725797	
O83950	OTHER	0.000898	0.999102	
O83964	OTHER	0.002795	0.997205	
O83970	OTHER	0.001189	0.998811	
O83971	OTHER	0.036598	0.963402	
O83972	OTHER	0.001600	0.998400	
O83973	OTHER	0.177396	0.822604	
O83974	OTHER	0.003831	0.996169	
O83975	OTHER	0.010588	0.989412	
O83980	OTHER	0.001921	0.998079	
O83982	OTHER	0.030457	0.969543	
O83985	OTHER	0.001992	0.998008	
O83998	OTHER	0.002310	0.997690	
O84003	OTHER	0.001336	0.998664	
P16665	OTHER	0.002938	0.997062	
P18193	SP(Sec/SPI)	0.996250	0.003750	CS pos: 20-21. AVA-DE. Pr: 0.7473
P19478	SP(Sec/SPI)	0.951702	0.048298	CS pos: 21-22. ACG-GG. Pr: 0.2050
P21990	OTHER	0.002725	0.997275	
P21991	OTHER	0.001558	0.998442	
P27771	OTHER	0.048513	0.951487	
P74934	OTHER	0.001104	0.998896	
P96115	OTHER	0.000758	0.999242	
P96121	OTHER	0.003945	0.996055	
P96122	OTHER	0.003993	0.996007	
P96130	OTHER	0.001228	0.998772	
Q56328	SP(Sec/SPI)	0.941979	0.058021	CS pos: 22-23. CRP-AV. Pr: 0.2964
Q56336	OTHER	0.000398	0.999602	
Q56342	OTHER	0.000603	0.999397	
Q56346	OTHER	0.001582	0.998418	
F7IUB5	OTHER	0.001787	0.998213	
F7IUJ5	OTHER	0.126447	0.873553	
F7IVV4	OTHER	0.001871	0.998129	
F7IW50	OTHER	0.000564	0.999436	
O07884	OTHER	0.002510	0.997490	
O07886	OTHER	0.052784	0.947216	
O07887	OTHER	0.119865	0.880135	
O07888	OTHER	0.000213	0.999787	
O07950	SP(Sec/SPI)	0.540023	0.459977	CS pos: 24-25. VAC-TQ. Pr: 0.2065
O66075	OTHER	0.002680	0.997320	
O66076	OTHER	0.005228	0.994772	
O66105	SP(Sec/SPI)	0.920490	0.079510	CS pos: 23-24. IGC-AE. Pr: 0.5252
O66106	OTHER	0.001963	0.998037	
O83048	OTHER	0.003125	0.996875	
O83049	OTHER	0.000592	0.999408	
O83060	OTHER	0.005452	0.994548	
O83063	OTHER	0.000747	0.999253	
O83070	OTHER	0.000898	0.999102	
O83075	OTHER	0.000848	0.999152	
O83077	SP(Sec/SPI)	0.974315	0.025685	CS pos: 23-24. SLS-TP. Pr: 0.2741
O83078	OTHER	0.094687	0.905313	
O83079	OTHER	0.064532	0.935468	
O83080	OTHER	0.001603	0.998397	
O83084	OTHER	0.001796	0.998204	
O83085	OTHER	0.000860	0.999140	
O83090	OTHER	0.000396	0.999604	
O83091	OTHER	0.001001	0.998999	
O83093	OTHER	0.001198	0.998802	
O83099	OTHER	0.000601	0.999399	
O83100	OTHER	0.000574	0.999426	
O83101	OTHER	0.000518	0.999482	
O83102	OTHER	0.011041	0.988959	
O83132	OTHER	0.001324	0.998676	
O83135	OTHER	0.000520	0.999480	
O83137	OTHER	0.008127	0.991873	
O83140	OTHER	0.002065	0.997935	
O83141	OTHER	0.001609	0.998391	
O83149	OTHER	0.007137	0.992863	
O83150	OTHER	0.005060	0.994940	
O83151	OTHER	0.204798	0.795202	
O83152	OTHER	0.006871	0.993129	
O83158	OTHER	0.001071	0.998929	
O83161	OTHER	0.021478	0.978522	
O83162	OTHER	0.003367	0.996633	
O83169	OTHER	0.364820	0.635180	
O83172	SP(Sec/SPI)	0.854882	0.145118	CS pos: 24-25. TTC-DF. Pr: 0.5112
O83177	OTHER	0.005452	0.994548	
O83195	OTHER	0.001469	0.998531	
O83212	OTHER	0.437305	0.562695	
O83214	OTHER	0.001196	0.998804	
O83215	OTHER	0.031411	0.968589	
O83218	OTHER	0.000295	0.999705	
O83219	OTHER	0.002302	0.997698	
O83220	OTHER	0.001456	0.998544	
O83221	OTHER	0.000743	0.999257	
O83222	OTHER	0.000513	0.999487	
O83223	OTHER	0.000389	0.999611	
O83224	OTHER	0.000157	0.999843	
O83225	OTHER	0.001006	0.998994	
O83226	OTHER	0.000810	0.999190	
O83227	OTHER	0.000583	0.999417	
O83228	OTHER	0.000703	0.999297	
O83229	OTHER	0.000591	0.999409	
O83230	OTHER	0.000321	0.999679	
O83232	OTHER	0.001445	0.998555	
O83233	OTHER	0.000563	0.999437	
O83234	OTHER	0.001867	0.998133	
O83235	OTHER	0.000840	0.999160	
O83237	OTHER	0.000483	0.999517	
O83238	OTHER	0.077244	0.922756	
O83239	OTHER	0.003109	0.996891	
O83240	OTHER	0.001342	0.998658	
O83241	OTHER	0.000611	0.999389	
O83243	OTHER	0.001050	0.998950	
O83245	OTHER	0.001383	0.998617	
O83246	OTHER	0.003750	0.996250	
O83256	OTHER	0.001326	0.998674	
O83257	OTHER	0.003704	0.996296	
O83262	OTHER	0.004060	0.995940	
O83263	OTHER	0.002529	0.997471	
O83264	OTHER	0.000591	0.999409	
O83265	OTHER	0.001933	0.998067	
O83266	OTHER	0.000596	0.999404	
O83267	OTHER	0.002635	0.997365	
O83268	OTHER	0.000474	0.999526	
O83269	OTHER	0.000425	0.999575	
O83271	OTHER	0.000799	0.999201	
O83272	OTHER	0.002692	0.997308	
O83278	OTHER	0.000983	0.999017	
O83289	OTHER	0.156702	0.843298	
O83295	OTHER	0.000496	0.999504	
O83296	OTHER	0.001401	0.998599	
O83298	OTHER	0.001032	0.998968	
O83300	OTHER	0.002162	0.997838	
O83317	OTHER	0.006045	0.993955	
O83321	OTHER	0.000801	0.999199	
O83323	OTHER	0.325299	0.674701	
O83324	OTHER	0.018572	0.981428	
O83325	OTHER	0.000859	0.999141	
O83328	OTHER	0.000388	0.999612	
O83348	OTHER	0.001069	0.998931	
O83359	OTHER	0.000486	0.999514	
O83363	OTHER	0.002088	0.997912	
O83364	OTHER	0.002976	0.997024	
O83373	OTHER	0.002185	0.997815	
O83387	OTHER	0.000623	0.999377	
O83388	OTHER	0.010961	0.989039	
O83395	OTHER	0.001468	0.998532	
O83398	OTHER	0.000804	0.999196	
O83399	OTHER	0.002139	0.997861	
O83404	OTHER	0.000856	0.999144	
O83405	OTHER	0.002022	0.997978	
O83410	OTHER	0.001049	0.998951	
O83411	OTHER	0.001477	0.998523	
O83413	OTHER	0.000513	0.999487	
O83414	OTHER	0.002684	0.997316	
O83415	OTHER	0.000547	0.999453	
O83416	OTHER	0.000760	0.999240	
O83418	OTHER	0.001912	0.998088	
O83421	OTHER	0.002112	0.997888	
O83425	OTHER	0.146738	0.853262	
O83426	OTHER	0.038724	0.961276	
O83431	OTHER	0.001725	0.998275	
O83436	SP(Sec/SPI)	0.938110	0.061890	CS pos: 26-27. VGA-QE. Pr: 0.7006
O83439	OTHER	0.000749	0.999251	
O83441	OTHER	0.000863	0.999137	
O83442	OTHER	0.001306	0.998694	
O83443	OTHER	0.000319	0.999681	
O83444	OTHER	0.010136	0.989864	
O83453	OTHER	0.001230	0.998770	
O83456	OTHER	0.014225	0.985775	
O83464	OTHER	0.002671	0.997329	
O83475	SP(Sec/SPI)	0.969861	0.030139	CS pos: 20-21. TGC-DF. Pr: 0.4165
O83477	OTHER	0.001134	0.998866	
O83490	OTHER	0.008643	0.991357	
O83504	OTHER	0.011082	0.988918	
O83506	OTHER	0.000516	0.999484	
O83510	OTHER	0.003290	0.996710	
O83511	OTHER	0.035107	0.964893	
O83513	OTHER	0.002713	0.997287	
O83518	OTHER	0.000905	0.999095	
O83522	OTHER	0.000973	0.999027	
O83529	SP(Sec/SPI)	0.881696	0.118304	CS pos: 25-26. VLG-LA. Pr: 0.4807
O83531	OTHER	0.001905	0.998095	
O83537	OTHER	0.000948	0.999052	
O83538	OTHER	0.002632	0.997368	
O83539	OTHER	0.001944	0.998056	
O83540	OTHER	0.004017	0.995983	
O83541	OTHER	0.001647	0.998353	
O83547	OTHER	0.020723	0.979277	
O83554	OTHER	0.002138	0.997862	
O83556	SP(Sec/SPI)	0.994595	0.005405	CS pos: 19-20. AGA-CK. Pr: 0.5429
O83565	OTHER	0.002150	0.997850	
O83567	OTHER	0.000980	0.999020	
O83569	SP(Sec/SPI)	0.913934	0.086066	CS pos: 25-26. VLA-NP. Pr: 0.8580
O83585	OTHER	0.000878	0.999122	
O83587	OTHER	0.001535	0.998465	
O83590	OTHER	0.002226	0.997774	
O83595	OTHER	0.001027	0.998973	
O83598	OTHER	0.000894	0.999106	
O83609	OTHER	0.143103	0.856897	
O83612	OTHER	0.001289	0.998711	
O83613	OTHER	0.000719	0.999281	
O83614	OTHER	0.000752	0.999248	
O83615	OTHER	0.000738	0.999262	
O83618	OTHER	0.001539	0.998461	
O83623	OTHER	0.000346	0.999654	
O83634	OTHER	0.002010	0.997990	
O83635	OTHER	0.008973	0.991027	
O83636	OTHER	0.013106	0.986894	
O83647	OTHER	0.000628	0.999372	
O83650	OTHER	0.001244	0.998756	
O83656	OTHER	0.003823	0.996177	
O83663	OTHER	0.000906	0.999094	
O83666	OTHER	0.001022	0.998978	
O83675	OTHER	0.000952	0.999048	
O83699	OTHER	0.002099	0.997901	
O83710	OTHER	0.006824	0.993176	
O83713	OTHER	0.000773	0.999227	
O83720	OTHER	0.001549	0.998451	
O83723	OTHER	0.006701	0.993299	
O83725	OTHER	0.001441	0.998559	
O83727	OTHER	0.001710	0.998290	
O83737	OTHER	0.001983	0.998017	
O83738	OTHER	0.001178	0.998822	
O83739	OTHER	0.000276	0.999724	
O83748	OTHER	0.000994	0.999006	
O83749	OTHER	0.001433	0.998567	
O83765	OTHER	0.000636	0.999364	
O83778	OTHER	0.010905	0.989095	
O83779	OTHER	0.006986	0.993014	
O83785	OTHER	0.003020	0.996980	
O83786	OTHER	0.000910	0.999090	
O83790	OTHER	0.005718	0.994282	
O83800	OTHER	0.000745	0.999255	
O83803	OTHER	0.002855	0.997145	
O83820	OTHER	0.000393	0.999607	
O83821	OTHER	0.000320	0.999680	
O83822	OTHER	0.001619	0.998381	
O83824	OTHER	0.000854	0.999146	
O83826	SP(Sec/SPI)	0.962474	0.037526	CS pos: 25-26. LVA-QE. Pr: 0.7011
O83834	OTHER	0.486253	0.513747	
O83845	OTHER	0.005646	0.994354	
O83855	OTHER	0.002604	0.997396	
O83857	OTHER	0.000921	0.999079	
O83858	OTHER	0.004382	0.995618	
O83859	OTHER	0.003366	0.996634	
O83860	OTHER	0.001368	0.998632	
O83861	OTHER	0.004840	0.995160	
O83862	OTHER	0.001129	0.998871	
O83863	OTHER	0.002463	0.997537	
O83868	OTHER	0.002151	0.997849	
O83875	OTHER	0.001247	0.998753	
O83876	OTHER	0.002784	0.997216	
O83877	OTHER	0.005805	0.994195	
O83878	OTHER	0.021757	0.978243	
O83879	OTHER	0.000600	0.999400	
O83887	OTHER	0.000428	0.999572	
O83889	OTHER	0.000975	0.999025	
O83895	OTHER	0.029892	0.970108	
O83896	OTHER	0.106781	0.893219	
O83909	OTHER	0.001407	0.998593	
O83917	OTHER	0.002111	0.997889	
O83940	OTHER	0.003157	0.996843	
O83942	OTHER	0.003102	0.996898	
O83945	OTHER	0.003760	0.996240	
O83946	OTHER	0.000667	0.999333	
O83949	OTHER	0.001894	0.998106	
O83956	OTHER	0.005552	0.994448	
O83958	SP(Sec/SPI)	0.812831	0.187169	CS pos: 23-24. AAG-EV. Pr: 0.4794
O83969	OTHER	0.003574	0.996426	
O83977	OTHER	0.001751	0.998249	
O83979	OTHER	0.070685	0.929315	
O83981	OTHER	0.009530	0.990470	
O83983	OTHER	0.003003	0.996997	
O83984	OTHER	0.005038	0.994962	
O83986	OTHER	0.000749	0.999251	
O83987	OTHER	0.001733	0.998267	
O83988	OTHER	0.001347	0.998653	
O83990	OTHER	0.003641	0.996359	
O83991	OTHER	0.001473	0.998527	
O83999	OTHER	0.013376	0.986624	
O84001	OTHER	0.001435	0.998565	
P07643	SP(Sec/SPI)	0.657491	0.342509	CS pos: 25-26. ASG-AK. Pr: 0.2422
P16055	SP(Sec/SPI)	0.989354	0.010646	CS pos: 21-22. SFS-SI. Pr: 0.5677
P19649	SP(Sec/SPI)	0.943798	0.056202	CS pos: 24-25. VSA-AS. Pr: 0.6579
P38369	SP(Sec/SPI)	0.753332	0.246668	CS pos: 26-27. SAA-YP. Pr: 0.3570
P45685	OTHER	0.002328	0.997672	
P58007	OTHER	0.004308	0.995692	
P74927	OTHER	0.000902	0.999098	
P74930	SP(Sec/SPI)	0.886914	0.113086	CS pos: 29-30. ARG-GV. Pr: 0.5080
P74931	OTHER	0.002393	0.997607	
P74932	OTHER	0.023892	0.976108	
P74933	OTHER	0.005230	0.994770	
P74935	OTHER	0.004204	0.995796	
P74936	OTHER	0.011077	0.988923	
P96117	OTHER	0.001181	0.998819	
P96118	OTHER	0.006508	0.993492	
P96119	OTHER	0.010770	0.989230	
P96123	OTHER	0.000330	0.999670	
P96126	OTHER	0.001532	0.998468	
P96128	OTHER	0.000391	0.999609	
P96129	OTHER	0.000383	0.999617	
P96131	OTHER	0.000854	0.999146	
Q08255	SP(Sec/SPI)	0.861408	0.138592	CS pos: 28-29. CSS-KT. Pr: 0.6061
Q56338	OTHER	0.002262	0.997738	
Q56339	OTHER	0.000470	0.999530	
Q57321	OTHER	0.002546	0.997454	
F7ITI9	OTHER	0.038855	0.961145	
F7IU72	OTHER	0.001574	0.998426	
F7IUH9	OTHER	0.000890	0.999110	
F7IUN7	OTHER	0.001769	0.998231	
F7IUP9	OTHER	0.026287	0.973713	
F7IV43	OTHER	0.001355	0.998645	
F7IVD2	OTHER	0.002436	0.997564	
F7IVK2	OTHER	0.004207	0.995793	
F7IW56	SP(Sec/SPI)	0.941881	0.058119	CS pos: 25-26. VSA-KQ. Pr: 0.7197
F7IW78	OTHER	0.000807	0.999193	
F7IWA5	SP(Sec/SPI)	0.974883	0.025117	CS pos: 24-25. VLG-QE. Pr: 0.6127
F7IWE8	OTHER	0.025948	0.974052	
O06690	OTHER	0.006656	0.993344	
O83050	OTHER	0.007038	0.992962	
O83052	OTHER	0.002312	0.997688	
O83053	OTHER	0.001228	0.998772	
O83054	OTHER	0.003330	0.996670	
O83055	OTHER	0.236819	0.763181	
O83056	OTHER	0.001082	0.998918	
O83057	SP(Sec/SPI)	0.988735	0.011265	CS pos: 23-24. CGG-AR. Pr: 0.4169
O83058	OTHER	0.001874	0.998126	
O83061	OTHER	0.000940	0.999060	
O83062	OTHER	0.000661	0.999339	
O83064	SP(Sec/SPI)	0.961418	0.038582	CS pos: 25-26. LFA-QE. Pr: 0.8125
O83065	OTHER	0.000215	0.999785	
O83066	OTHER	0.001718	0.998282	
O83067	OTHER	0.004150	0.995850	
O83068	OTHER	0.007003	0.992997	
O83069	OTHER	0.002803	0.997197	
O83071	OTHER	0.003397	0.996603	
O83072	SP(Sec/SPI)	0.933269	0.066731	CS pos: 23-24. CAG-SE. Pr: 0.3105
O83074	OTHER	0.005160	0.994840	
O83076	OTHER	0.002357	0.997643	
O83081	OTHER	0.002189	0.997811	
O83082	OTHER	0.008111	0.991889	
O83083	OTHER	0.171372	0.828628	
O83086	OTHER	0.001401	0.998599	
O83087	OTHER	0.004044	0.995956	
O83088	OTHER	0.008397	0.991603	
O83089	OTHER	0.001986	0.998014	
O83094	OTHER	0.022746	0.977254	
O83095	OTHER	0.001354	0.998646	
O83096	SP(Sec/SPI)	0.894291	0.105709	CS pos: 26-27. CAA-TR. Pr: 0.5364
O83098	OTHER	0.131812	0.868188	
O83103	OTHER	0.004048	0.995952	
O83104	OTHER	0.002246	0.997754	
O83105	OTHER	0.000432	0.999568	
O83106	OTHER	0.008754	0.991246	
O83108	OTHER	0.022783	0.977217	
O83109	OTHER	0.229555	0.770445	
O83111	OTHER	0.006223	0.993777	
O83112	OTHER	0.004507	0.995493	
O83113	OTHER	0.114036	0.885964	
O83114	OTHER	0.008770	0.991230	
O83115	OTHER	0.260687	0.739313	
O83116	OTHER	0.003138	0.996862	
O83117	OTHER	0.001111	0.998889	
O83118	OTHER	0.004601	0.995399	
O83119	OTHER	0.001206	0.998794	
O83120	OTHER	0.004895	0.995105	
O83121	OTHER	0.000888	0.999112	
O83122	OTHER	0.002839	0.997161	
O83123	OTHER	0.000505	0.999495	
O83124	OTHER	0.029166	0.970834	
O83125	SP(Sec/SPI)	0.710169	0.289831	CS pos: 33-34. VAC-RT. Pr: 0.1811
O83126	OTHER	0.117076	0.882924	
O83127	OTHER	0.001581	0.998419	
O83130	OTHER	0.001361	0.998639	
O83131	OTHER	0.002637	0.997363	
O83133	OTHER	0.001052	0.998948	
O83134	OTHER	0.000534	0.999466	
O83136	OTHER	0.001404	0.998596	
O83138	SP(Sec/SPI)	0.835448	0.164552	CS pos: 33-34. VQA-AD. Pr: 0.7594
O83139	OTHER	0.068251	0.931749	
O83144	OTHER	0.002341	0.997659	
O83145	OTHER	0.001050	0.998950	
O83147	OTHER	0.003001	0.996999	
O83148	OTHER	0.000926	0.999074	
O83155	OTHER	0.003658	0.996342	
O83156	OTHER	0.072424	0.927576	
O83157	OTHER	0.000878	0.999122	
O83160	OTHER	0.277209	0.722791	
O83163	OTHER	0.001056	0.998944	
O83164	SP(Sec/SPI)	0.963818	0.036182	CS pos: 25-26. CYA-GY. Pr: 0.9333
O83165	OTHER	0.003021	0.996979	
O83166	OTHER	0.005697	0.994303	
O83167	OTHER	0.001679	0.998321	
O83168	OTHER	0.002034	0.997966	
O83170	SP(Sec/SPI)	0.695539	0.304461	CS pos: 29-30. TTC-DF. Pr: 0.3289
O83171	OTHER	0.194693	0.805307	
O83173	OTHER	0.069496	0.930504	
O83174	OTHER	0.003564	0.996436	
O83175	OTHER	0.028534	0.971466	
O83176	OTHER	0.291224	0.708776	
O83178	OTHER	0.001000	0.999000	
O83179	OTHER	0.001206	0.998794	
O83180	SP(Sec/SPI)	0.933892	0.066108	CS pos: 23-24. SRS-RT. Pr: 0.2334
O83181	OTHER	0.004078	0.995922	
O83182	OTHER	0.004561	0.995439	
O83183	SP(Sec/SPI)	0.513033	0.486967	CS pos: 19-20. AEG-IG. Pr: 0.2627
O83184	OTHER	0.002390	0.997610	
O83185	OTHER	0.183565	0.816435	
O83186	OTHER	0.030525	0.969475	
O83187	OTHER	0.001357	0.998643	
O83188	OTHER	0.009198	0.990802	
O83189	OTHER	0.000690	0.999310	
O83190	OTHER	0.138002	0.861998	
O83191	OTHER	0.000777	0.999223	
O83192	OTHER	0.000693	0.999307	
O83193	OTHER	0.001701	0.998299	
O83194	SP(Sec/SPI)	0.983854	0.016146	CS pos: 20-21. LLA-TE. Pr: 0.4012
O83196	OTHER	0.010959	0.989041	
O83199	OTHER	0.018059	0.981941	
O83202	OTHER	0.001237	0.998763	
O83203	OTHER	0.012101	0.987899	
O83204	OTHER	0.124373	0.875627	
O83205	OTHER	0.001902	0.998098	
O83206	OTHER	0.001130	0.998870	
O83207	OTHER	0.001135	0.998865	
O83208	OTHER	0.000970	0.999030	
O83209	OTHER	0.000321	0.999679	
O83210	OTHER	0.255066	0.744934	
O83211	OTHER	0.347938	0.652062	
O83213	SP(Sec/SPI)	0.997796	0.002204	CS pos: 23-24. VHA-AP. Pr: 0.9668
O83216	OTHER	0.005965	0.994035	
O83244	OTHER	0.001086	0.998914	
O83247	OTHER	0.002424	0.997576	
O83248	OTHER	0.023206	0.976794	
O83249	OTHER	0.013412	0.986588	
O83250	OTHER	0.006763	0.993237	
O83251	SP(Sec/SPI)	0.912640	0.087360	CS pos: 23-24. AYA-DS. Pr: 0.7908
O83252	OTHER	0.001677	0.998323	
O83253	OTHER	0.031731	0.968269	
O83254	OTHER	0.030660	0.969340	
O83255	OTHER	0.001019	0.998981	
O83259	OTHER	0.001630	0.998370	
O83260	OTHER	0.055728	0.944272	
O83261	OTHER	0.001089	0.998911	
O83273	SP(Sec/SPI)	0.728923	0.271077	CS pos: 24-25. SSG-RR. Pr: 0.6010
O83274	OTHER	0.000269	0.999731	
O83275	OTHER	0.204563	0.795437	
O83277	OTHER	0.382105	0.617895	
O83280	OTHER	0.000961	0.999039	
O83282	OTHER	0.111938	0.888062	
O83283	OTHER	0.112384	0.887616	
O83284	OTHER	0.253454	0.746546	
O83285	OTHER	0.160686	0.839314	
O83286	OTHER	0.001479	0.998521	
O83287	OTHER	0.022299	0.977701	
O83290	OTHER	0.008397	0.991603	
O83291	OTHER	0.000180	0.999820	
O83292	OTHER	0.471141	0.528859	
O83294	OTHER	0.004005	0.995995	
O83297	OTHER	0.001525	0.998475	
O83299	OTHER	0.000675	0.999325	
O83301	OTHER	0.001031	0.998969	
O83302	OTHER	0.009918	0.990082	
O83304	OTHER	0.004009	0.995991	
O83305	OTHER	0.109881	0.890119	
O83306	OTHER	0.005657	0.994343	
O83308	OTHER	0.107771	0.892229	
O83309	OTHER	0.000874	0.999126	
O83310	OTHER	0.000943	0.999057	
O83311	OTHER	0.002246	0.997754	
O83312	OTHER	0.001218	0.998782	
O83313	OTHER	0.002288	0.997712	
O83315	OTHER	0.001403	0.998597	
O83316	OTHER	0.021465	0.978535	
O83318	OTHER	0.001880	0.998120	
O83320	OTHER	0.003290	0.996710	
O83326	OTHER	0.001101	0.998899	
O83329	OTHER	0.004446	0.995554	
O83330	OTHER	0.399114	0.600886	
O83331	OTHER	0.004356	0.995644	
O83332	OTHER	0.001628	0.998372	
O83333	OTHER	0.007960	0.992040	
O83334	OTHER	0.092348	0.907652	
O83335	SP(Sec/SPI)	0.974883	0.025117	CS pos: 24-25. VLG-QE. Pr: 0.6127
O83336	OTHER	0.005646	0.994354	
O83337	SP(Sec/SPI)	0.974883	0.025117	CS pos: 24-25. VLG-QE. Pr: 0.6127
O83338	OTHER	0.029982	0.970018	
O83340	OTHER	0.008583	0.991417	
O83341	OTHER	0.002211	0.997789	
O83342	OTHER	0.002026	0.997974	
O83343	OTHER	0.348790	0.651210	
